Id Usuario,Marca de tiempo inicial,Marca de tiempo final,Tiempo de computo 1,Tiempo de computo 2,Tiempo de computo 3,Tx 1 (dBm),Tx 2 (dBm),Tx 3 (dBm),Lugar
1,2021-02-08T18:10:39.055502,2021-02-08T18:10:40.908095,0,0,110,0,0,-63.0,
1,2021-02-08T18:10:39.884313,2021-02-08T18:10:40.908095,0,0,110,0,0,-67.0,
1,2021-02-08T18:10:40.908095,2021-02-08T18:10:42.614277,0,0,110,0,0,-66.0,
1,2021-02-08T18:10:41.785617,2021-02-08T18:10:43.687422,0,0,110,0,0,-67.0,
1,2021-02-08T18:10:42.614277,2021-02-08T18:10:43.687422,0,0,110,0,0,-69.0,
1,2021-02-08T18:10:43.687422,2021-02-08T18:10:45.344372,0,0,110,0,0,-64.0,
1,2021-02-08T18:10:44.515619,2021-02-08T18:10:46.124489,0,0,110,0,0,-69.0,
1,2021-02-08T18:10:45.344372,2021-02-08T18:10:46.656686,110,0,110,-73.0,0,-68.0,
1,2021-02-08T18:10:46.124489,2021-02-08T18:10:47.534392,110,0,110,-74.0,0,-68.0,
1,2021-02-08T18:10:46.904173,2021-02-08T18:10:48.021896,110,0,110,-73.0,0,-65.0,
1,2021-02-08T18:10:48.025814,2021-02-08T18:10:49.289360,110,0,110,-73.0,0,-65.0,
1,2021-02-08T18:10:48.805464,2021-02-08T18:10:50.117929,110,0,110,-74.0,0,-65.0,
1,2021-02-08T18:10:49.289360,2021-02-08T18:10:50.414209,110,0,110,-74.0,0,-65.0,
1,2021-02-08T18:10:49.728031,2021-02-08T18:10:50.995610,110,0,110,-74.0,0,-67.0,
1,2021-02-08T18:10:50.117929,2021-02-08T18:10:51.437976,110,0,110,-75.0,0,-66.0,
1,2021-02-08T18:10:50.605674,2021-02-08T18:10:51.873134,110,0,0,-73.0,0,0,
1,2021-02-08T18:10:50.995610,2021-02-08T18:10:52.218273,110,0,110,-73.0,0,-67.0,
1,2021-02-08T18:10:51.483010,2021-02-08T18:10:52.701755,110,0,0,-75.0,0,0,
1,2021-02-08T18:10:51.873134,2021-02-08T18:10:53.095703,110,0,110,-75.0,0,-70.0,
1,2021-02-08T18:10:52.263794,2021-02-08T18:10:53.286900,110,0,0,-73.0,0,0,
1,2021-02-08T18:10:52.701755,2021-02-08T18:10:53.725787,110,0,0,-74.0,0,0,
1,2021-02-08T18:10:53.286900,2021-02-08T18:10:54.749460,110,0,110,-74.0,0,-66.0,
1,2021-02-08T18:10:53.725787,2021-02-08T18:10:54.749460,110,0,0,-75.0,0,0,
1,2021-02-08T18:10:54.164232,2021-02-08T18:10:55.334282,110,0,110,-73.0,0,-67.0,
1,2021-02-08T18:10:54.749460,2021-02-08T18:10:55.773235,110,0,0,-74.0,0,0,
1,2021-02-08T18:10:55.334282,2021-02-08T18:10:56.654470,110,0,110,-75.0,0,-66.0,
1,2021-02-08T18:10:55.773235,2021-02-08T18:10:56.797579,110,0,110,-74.0,0,-68.0,
1,2021-02-08T18:10:56.260507,2021-02-08T18:10:57.577044,110,0,0,-75.0,0,0,
1,2021-02-08T18:10:56.797579,2021-02-08T18:10:57.966831,110,0,110,-76.0,0,-66.0,
1,2021-02-08T18:10:57.187037,2021-02-08T18:10:58.356786,110,0,0,-76.0,0,0,
1,2021-02-08T18:10:57.577044,2021-02-08T18:10:58.458474,110,110,110,-73.0,-71.0,-66.0,
1,2021-02-08T18:10:57.966831,2021-02-08T18:10:59.283276,110,0,0,-74.0,0,0,
1,2021-02-08T18:10:58.356786,2021-02-08T18:10:59.572416,110,110,110,-75.0,-70.0,-69.0,
1,2021-02-08T18:10:58.844326,2021-02-08T18:11:00.115576,110,0,110,-74.0,0,-68.0,
1,2021-02-08T18:10:59.283276,2021-02-08T18:11:00.644543,110,110,0,-74.0,-71.0,0,
1,2021-02-08T18:10:59.770596,2021-02-08T18:11:00.944315,110,0,110,-74.0,0,-66.0,
1,2021-02-08T18:11:00.209611,2021-02-08T18:11:01.278119,110,110,0,-75.0,-72.0,0,
1,2021-02-08T18:11:00.697473,2021-02-08T18:11:01.960580,110,110,0,-75.0,-72.0,0,
1,2021-02-08T18:11:01.184341,2021-02-08T18:11:02.354317,110,0,110,-74.0,0,-66.0,
1,2021-02-08T18:11:01.574569,2021-02-08T18:11:02.741413,110,110,0,-73.0,-73.0,0,
1,2021-02-08T18:11:01.964567,2021-02-08T18:11:03.231860,110,0,110,-72.0,0,-68.0,
1,2021-02-08T18:11:02.354317,2021-02-08T18:11:03.670836,110,0,0,-74.0,0,0,
1,2021-02-08T18:11:02.744707,2021-02-08T18:11:03.861894,110,110,0,-74.0,-72.0,0,
1,2021-02-08T18:11:03.231860,2021-02-08T18:11:04.499658,110,0,110,-73.0,0,-67.0,
1,2021-02-08T18:11:03.670836,2021-02-08T18:11:04.889364,110,0,0,-74.0,0,0,
1,2021-02-08T18:11:04.109377,2021-02-08T18:11:05.088104,110,110,110,-75.0,-75.0,-65.0,
1,2021-02-08T18:11:04.499658,2021-02-08T18:11:05.763148,110,110,0,-75.0,-75.0,0,
1,2021-02-08T18:11:04.889364,2021-02-08T18:11:06.205939,110,0,110,-75.0,0,-66.0,
1,2021-02-08T18:11:05.328336,2021-02-08T18:11:06.543161,110,110,0,-72.0,-73.0,0,
1,2021-02-08T18:11:05.767163,2021-02-08T18:11:07.132172,110,0,110,-75.0,0,-67.0,
1,2021-02-08T18:11:06.205939,2021-02-08T18:11:07.521909,110,0,0,-74.0,0,0,
1,2021-02-08T18:11:06.644394,2021-02-08T18:11:07.713744,110,110,110,-71.0,-74.0,-69.0,
1,2021-02-08T18:11:07.132172,2021-02-08T18:11:08.302187,110,0,0,-74.0,0,0,
1,2021-02-08T18:11:07.521909,2021-02-08T18:11:08.590949,110,110,0,-74.0,-76.0,0,
1,2021-02-08T18:11:07.911926,2021-02-08T18:11:09.228167,110,0,110,-76.0,0,-68.0,
1,2021-02-08T18:11:08.302187,2021-02-08T18:11:09.426891,110,0,110,-73.0,0,-67.0,
1,2021-02-08T18:11:08.789462,2021-02-08T18:11:10.203177,110,110,0,-74.0,-70.0,0,
1,2021-02-08T18:11:09.228167,2021-02-08T18:11:10.593449,110,0,0,-74.0,0,0,
1,2021-02-08T18:11:09.716406,2021-02-08T18:11:10.784493,110,110,110,-75.0,-75.0,-68.0,
1,2021-02-08T18:11:10.203177,2021-02-08T18:11:11.470901,110,0,0,-75.0,0,0,
1,2021-02-08T18:11:10.593449,2021-02-08T18:11:11.569593,110,110,110,-75.0,-76.0,-66.0,
1,2021-02-08T18:11:11.080689,2021-02-08T18:11:12.348374,110,0,0,-76.0,0,0,
1,2021-02-08T18:11:11.470901,2021-02-08T18:11:12.546957,110,110,110,-73.0,-73.0,-69.0,
